"","SEXORNT","REALINC","CONINC","CONRINC","BALLOT","WRKSTAT","HRS1","HRS2","WRKSLF","OCC10","INDUS10","MARITAL","DIVORCE","WIDOWED","SPWRKSLF","SPPRES80","SPOCC10","SPIND10","PAWRKSLF","PAOCC10","PAIND10","MAWRKSLF","MAOCC10","MAIND10","SIBS","CHILDS","AGE","AGEKDBRN","EDUC","PAEDUC","MAEDUC","SPEDUC","DEGREE","PADEG","MADEG","SPDEG","DIPGED","SEX","RACE","RES16","REG16","FAMILY16","FAMDIF16","INCOM16","INCOME","REGION","PARTYID","NATEDUC","NATEDUCY","ATTEND","RELIG16","HAPPY","HAPMAR","HAPCOHAB","HEALTH","LIFE","CONEDUC","SOCREL","SOCOMMUN","SOCFREND","SOCBAR","WEEKSWRK","JOBLOSE","JOBFIND","SATJOB","SATFIN","ABNOMORE","ABHLTH","ABPOOR","ABANY","PILLOK","SEXEDUC","FECHLD","COMPUSE","YEARSJOB","MNTLHLTH","INTEDUC","SPSCHOOL","OPPARED","OPEDUC","OPSEX","TOPPROB1","TOPPROB2","MASEI10","PASEI10","SEI10","SPSEI10","INCOME16","HLTHSTRT","COSEI10","ID_","YEAR"
"3467",-100,22495,34815,34815,1,1,40,-100,2,8740,4880,5,-100,-100,-100,-70,-100,-100,2,5540,6370,2,5540,6370,4,0,29,-100,15,12,12,-100,1,1,1,-100,1,1,1,3,5,1,-100,3,12,6,6,1,-100,0,2,3,-100,-100,2,1,-100,6,7,6,7,52,3,2,2,3,-100,-100,-100,-100,3,1,4,1,3,14,-70,-70,-70,-70,-70,-70,-70,59.8,59.8,38.1,-100,19,-100,-100,3468,2022
"3468",-100,8691.25,13451.25,13451.25,1,1,40,-100,2,5240,7780,5,-100,-100,-100,-70,-100,-100,2,-99,1180,2,8320,1680,6,2,40,26,16,13,12,-100,3,1,1,-100,1,2,2,3,6,1,-100,4,11,6,0,2,-100,0,1,1,-100,-100,4,2,-100,7,4,5,5,52,4,1,1,2,-100,-100,-100,-100,1,1,1,1,0.25,1,-70,-70,-70,-70,-70,-70,-70,13.2,-100,37.6,-100,13,-100,-100,3469,2022
"3469",-100,11247.5,17407.5,-100,1,1,37,-100,2,9600,1180,5,-100,-100,-100,-70,-100,-100,2,8800,1180,2,7810,1180,2,2,33,23,5,5,11,-100,0,0,1,-100,-100,2,2,1,6,1,-100,3,12,6,1,-99,-100,7,1,2,-100,-100,1,3,-100,2,7,6,6,47,4,2,2,3,-100,-100,-100,-100,1,1,1,1,0.25,5,-70,-70,-70,-70,-70,-70,-70,18.8,17.1,20.9,-100,15,-100,-100,3470,2022
"3470",3,27607.5,42727.5,-100,2,7,-100,-100,2,8320,1480,1,2,2,1,-70,9130,6170,2,8530,270,2,4020,8680,4,1,74,29,12,-98,3,12,1,-98,0,1,1,2,2,3,5,1,-100,3,12,5,0,-100,1,6,1,2,3,-100,2,-100,2,2,7,7,7,0,-100,-100,1,2,-100,-100,-100,-100,3,1,2,2,-100,-100,-70,-70,-70,-70,-70,-70,-70,13.6,14.4,13.2,32,20,2,-100,3471,2022
"3471",-100,27607.5,42727.5,13451.25,1,5,-100,-100,2,3930,9590,4,-100,2,-100,-70,-100,-100,1,4250,7770,1,4230,9290,4,6,74,21,12,3,12,-100,1,0,1,-100,1,1,2,4,5,2,-100,1,12,5,1,-100,1,6,1,2,-100,-100,2,1,-100,1,2,4,6,0,-100,-100,-100,3,2,1,-98,1,2,1,2,1,-100,-100,-70,-70,-70,-70,-70,-70,-70,12.6,18.6,34.7,-100,20,1,-100,3472,2022
"3472",-100,15337.5,23737.5,23737.5,1,1,40,-100,2,5700,9370,3,-100,2,-100,-70,-100,-100,2,6730,770,2,4230,9290,4,3,59,21,5,8,8,-100,0,0,0,-100,-100,2,2,3,5,1,-100,2,12,5,0,1,-100,7,1,2,-100,-100,3,3,-100,4,3,7,7,32,4,1,4,3,-100,-100,-100,-100,2,1,2,1,16,10,-70,-70,-70,-70,-70,-70,-70,12.6,27.2,38.8,-100,17,-100,-100,3473,2022
"3473",-100,-100,-100,-100,3,1,40,-100,2,9620,1180,5,-100,-100,-100,-70,-100,-100,2,8965,2670,-100,-100,-100,1,3,28,21,12,11,-98,-100,1,0,-98,-100,1,2,2,3,5,1,-100,3,-100,5,-99,1,-100,5,1,2,-100,-100,1,2,2,-100,-100,-100,-100,30,-100,-100,3,1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-70,-70,-70,-70,-70,-70,-100,26.8,23.3,-100,-98,-100,-100,3474,2022
"3474",-100,5623.75,8703.75,-100,1,1,40,-100,1,8800,1180,5,-100,-100,-100,-70,-100,-100,-100,6260,770,2,7855,1180,6,3,24,19,12,-98,9,-100,1,-98,1,-100,1,2,2,6,5,0,-100,1,9,5,3,-100,1,0,1,2,-100,2,2,2,-100,7,7,7,7,30,-98,1,1,1,2,2,2,2,2,1,3,2,0.25,5,-70,-70,-70,-70,-70,-70,-70,21.6,25.2,17.1,-100,10,2,27.1,3475,2022
"3475",3,-100,-100,-100,3,1,40,-100,2,110,7860,5,-100,-100,-100,-70,-100,-100,2,9830,9870,2,4720,4970,2,0,42,-100,18,12,10,-100,4,1,1,-100,1,2,1,3,5,1,-100,2,-100,5,2,-100,1,5,1,2,-100,-100,1,2,2,-100,-100,-100,-100,52,-100,-100,1,2,1,1,1,1,-100,-100,-100,-100,10,0,-70,-70,-70,-70,-70,-70,-70,21.6,50.4,83.8,-100,-98,-100,-100,3476,2022
"3476",3,3681,5697,-100,3,2,25,-100,2,-99,1180,5,-100,-100,-100,-70,-100,-100,-100,-100,-100,2,7810,1180,3,0,21,-100,12,-100,10,-100,1,-100,0,-100,1,2,2,3,5,7,5,1,8,5,3,1,-100,1,1,3,-100,-100,2,2,3,-100,-100,-100,-100,20,-100,-100,3,3,-100,-100,-100,-100,-100,-100,-100,-100,3,15,-70,-70,-70,-70,-70,-70,-70,18.8,-100,-100,-100,8,-100,-100,3477,2022
"3477",2,204.5,316.5,-100,3,7,-100,-100,-100,-100,-100,5,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,6,2,31,16,-99,-100,-98,-100,0,-100,-98,-100,-100,2,3,3,5,5,5,1,1,5,3,1,-100,7,4,3,-100,-100,3,-97,3,-100,-100,-100,-100,-97,-100,-100,3,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-70,-70,-70,-70,-70,-70,-100,-100,-100,-100,1,-100,-100,3478,2022
"3478",3,22495,34815,34815,3,1,40,-100,2,1640,270,3,-100,2,-100,-70,-100,-100,2,1640,9570,2,3255,8190,2,2,73,19,14,16,14,-100,2,3,2,-100,1,1,1,3,5,1,-100,3,12,5,4,3,-100,7,1,3,-100,-100,1,1,3,-100,-100,-100,-100,52,-100,-100,1,3,-100,-100,-100,-100,-100,-100,-100,-100,6,0,-70,-70,-70,-70,-70,-70,-70,84.2,80.1,80.1,-100,19,-100,-100,3479,2022
"3479",3,40900,63300,-100,2,5,-100,-100,-100,-100,-100,1,1,2,-100,-70,-100,-97,2,4810,6990,2,205,170,0,2,66,27,12,12,12,12,1,1,1,1,1,1,1,3,5,1,-100,3,12,5,6,-100,2,5,1,2,2,-100,2,-100,2,5,4,3,6,0,-100,-100,-100,1,-100,-100,-100,-100,2,1,2,2,-100,-100,-70,-70,-70,-70,-70,-70,-70,39.9,57.8,-100,-100,22,-100,-100,3480,2022
"3480",-100,18405,28485,-100,1,1,40,-100,2,5240,6990,5,-100,-100,-100,-70,-100,-100,-100,-100,-100,2,5120,5170,3,4,27,20,15,-100,14,-100,1,-100,1,-100,1,2,2,3,5,5,-100,2,12,5,0,-100,1,5,1,2,-100,-100,3,1,-100,1,1,3,3,35,3,3,2,2,1,1,1,1,2,1,2,1,0.25,6,-70,-70,-70,-70,-70,-70,-70,38.3,-100,37.6,-100,18,1,-100,3481,2022
"3481",3,22495,34815,17407.5,3,1,53,-100,2,6320,770,5,-100,-100,-100,-70,-100,-100,-100,-100,-100,2,205,170,5,2,46,29,12,-100,12,-100,1,-100,0,-100,1,2,2,3,5,5,-100,1,12,5,0,-100,1,2,1,2,-100,2,3,2,2,-100,-100,-100,-100,52,-100,-100,1,3,-99,1,2,2,-100,-100,-100,-100,4,0,-70,-70,-70,-70,-70,-70,-70,39.9,-100,31,-100,19,1,46.6,3482,2022
"3482",-100,818,1266,-100,1,8,-100,-100,2,8965,1680,4,-100,2,-100,-70,-100,-100,2,8140,8870,2,4230,8660,6,3,69,21,12,4,3,-100,1,0,0,-100,1,2,2,1,5,1,-100,1,2,5,1,1,-100,7,1,2,-100,-100,2,1,-100,4,7,5,7,0,-100,-100,-100,2,-100,-100,-100,-100,1,1,1,2,-100,-100,-70,-70,-70,-70,-70,-70,-70,12.6,28.4,26.8,-100,2,-100,-100,3483,2022
"3483",-100,22495,34815,34815,1,5,-100,-100,2,1930,9590,3,-100,2,-100,-70,-100,-100,2,205,170,2,4850,4470,6,2,66,32,14,8,8,-100,2,0,0,-100,1,1,2,1,5,1,-100,2,12,5,0,-100,1,4,1,1,-100,1,2,1,-100,2,2,3,6,0,-100,-100,-100,1,1,1,1,1,2,1,1,1,-100,-100,-70,-70,-70,-70,-70,-70,-70,62,39.9,63.2,-100,19,2,39.2,3484,2022
"3484",3,11247.5,17407.5,-100,2,7,-100,-100,2,7140,6290,5,-100,-100,-100,-70,-100,-100,-100,-100,-100,2,5160,6870,2,2,41,35,14,-100,12,-100,1,-100,1,-100,2,1,1,3,5,5,-100,2,12,5,5,-100,3,2,1,2,-100,2,2,-100,3,2,3,4,6,1,-100,-100,2,3,-100,-100,-100,-100,1,1,2,1,-100,-100,-70,-70,-70,-70,-70,-70,-70,20.8,-100,53.6,-100,15,-100,28.7,3485,2022
